DR,PROCESS_ID,PART_ID,LOT_ID,LOTTYPE,QTY,HOLD_FLAG,FLOORID,GRADE,COMPLETE_RATE,LOT_PURPOSE,DUE_DATE,WIPTURN,ROOM,PROCESS_GROUP,STEP_ID,LAYER_TITLE,LAYER_GROUP,BLOCK_GROUP,PRE_STEPGBN2,EQPTYPE,MOVE_0,EQP_WORKLOAD_0,MOVE_1,EQP_WORKLOAD_1,MOVE_2,EQP_WORKLOAD_2,BATCH,Q_E,Q_P,L_E,L_P,Q_H,Q_R,Q_W,L_H,L_R,L_W,Q_2,Q_3,Q_4,Q_5,Q_7,Q_8,Q_10,L_2,L_3,L_4,L_5,L_7,L_8,L_10,WIP_WAITTIME,WIP_PRODUCT_NUM,SHIFT_TYPE,PROCESSTIME,PRC_WAIT_MIN,PRC_WAIT_MAX,PRC_WAIT_MEDIAN,PRC_WAIT_STD,WAITTIME
N4,BU,5P9865A02,3917J9,PT,3,Y,S3,,0.64,J,,,PH,COATER_HSOH,VL532850,L1,LG61,PU6,ACI_OCD,PARCCO,28698,15.6,33190,18,28430,16.5,,459,908,177,84,644,304,419,171,15,75,2,335,702,275,9,44,,2,98,94,38,4,25,0,9449,53,WG,7.67,1.33,51449.62,8.47,728.1,107.33
N4,BU,5P9865A02,363Y1,PT,22,Y,S3,1,0.88,1,12,10,PH,COATER_HSOH,VL746200,D10,LG63,PU6,FOUP_TRANSFER,PARCCO,28698,15.6,33190,18,28430,16.5,,489,906,174,75,747,196,452,169,12,68,,398,659,234,10,94,,0,96,82,38,5,28,0,10246.02,50,WS,11.87,1.33,51449.62,8.47,728.1,273.13
N5,LJ,FK05M2X01,383P1,PP,22,Y,S3,,0.78,1,38,5.34,PH,COATER_HSOH,KB601700,D5,LG63,PU6,FOUP_TRANSFER,PARCCO,28698,15.6,33190,18,28430,16.5,,489,906,174,75,747,196,452,169,12,68,,398,659,234,10,94,,0,96,82,38,5,28,0,10246.02,50,WS,16.03,1.63,6477.23,9.22,170.92,247.97
N5,LJ,FK05M2X01,3AKX1,PP,24,Y,S3,2,0.61,1,60,5.95,PH,COATER_HSOH,KB453400,CM,LG51,PU5,두께측정(THK),PARCCO,33190,18,28430,16.5,29849,16.5,,524,845,170,68,683,343,343,167,17,54,,388,572,267,35,107,,0,86,79,37,6,30,0,10575,50,WO,30.55,1.63,6477.23,9.22,170.92,348.45
N4,BU,5P9865A02,38BR1,PT,23,Y,S3-D,,0.77,1,23,10.04,PH,COATER_HSOH,VL663740,FD,LG63,PU6,CU_PE_NDC,PARCCO,26366,16.2,27033,17,26859,16.7,,570,1491,188,111,874,488,699,187,25,87,,560,903,512,10,76,,0,105,112,48,5,29,0,7772,55,WO,11.48,1.33,51449.62,8.47,728.1,10.52
N4,BU,5P9865A02,37WXB1,PT,1,Y,S3-D,,0.83,1,27,6.15,PH,COATER_HSOH,VL726300,D8,LG63,PU6,FOUP_TRANSFER,PARCCO,27766,15.7,28698,15.6,33190,18,,662,1397,180,114,683,518,858,167,25,102,,475,1029,352,9,194,,0,97,119,43,4,31,0,4579.02,52,WS,6.7,1.33,51449.62,8.47,728.1,823.3
N5,CT,FK05T2X01,395Y1,PP,24,Y,S3,3,0.97,1,12,2.25,PH,COATER,KB890800,LB,LG71,PU7,CU REVIEW,PESPIN,974,1,1579,1,1521,1,,,221,0,11,196,25,,10,1,0,,,,196,,25,,0,0,0,10,0,1,0,10877.03,2,WD,19.18,1.95,284.83,7.18,32.45,304.82
N5,CT,FK05T2X01,39GDN1,PP,18,Y,S3,,0.98,N,,,PH,LABEL,KB900700,LB,LG71,PU7,ADI검사,PLMARK,1224,1.9,1320,1.9,1080,1.9,,,48,0,3,18,,30,1,0,2,,,,23,,25,,0,0,0,2,0,1,0,21,2,WO,18.27,1.63,432.65,5.03,37.14,98.72999999
N4,BU,5P9865A02,3BXF1,PT,25,Y,S3,1,0.26,1,102,7.24,PH,KRF_HIGH,VL100000,EN,LG33,PU3,SI_3DSPIPA_STRIP_S,PMAINF,8378,6.9,8407,6.6,9073,6.9,,242,1245,30,56,1112,105,270,67,5,14,,21,196,169,,1100,1,0,3,13,12,0,57,1,2615.02,22,WO,50.23,0.05,16106.25,16.27,632.92,1721.77
N4,BU,5P9865A02,38WX1,PT,25,Y,S3,,0.54,1,65,7.08,CL,MT_DIW_BBRUSH_S,VL419700,CN,LG51,PU5,M_PE_NH3TR,WETSSW,14306,37.5,14237,37.8,12741,36.8,,213,218,43,14,115,185,131,29,10,18,,154,91,95,70,,,0,28,9,6,5,0,0,12948.02,16,WS,23.67,0.98,17121.35,4.37,363.46,3788.33
